主人公	どうやら考えは当たっていたみたいだ。そこに、窓から外を見下ろしている空の姿が映し出される。
天音	うわっ、凄い、本当に再生されてる
銀一郎	こりゃ、冗談抜きですげえな。しかもここまで鮮明とは
主人公	初めて見るその映像に、あま姉もアニキも驚嘆の声を漏らす。これを初めて見れば、驚いて当然だ。
天音	でも、本当に何もしないわね、空。ずっと外見てるだけ
銀一郎	つーか、何見てるんだ？
大地	確かに気になるね。空があんなに熱心に見るようなもの……
主人公	僕は映像の空の後ろから窓を覗き込む。けれどそこに映っているのはいつもと変わらない『今の』校庭の風景だった。
大地	そっか。ホロスコープツリーが再生するのはその場所で起こった事だから、窓の外とか、この場所でない所で起こった事までは映し出せないんだ
銀一郎	なるほどな。あくまでもこの空間内で起こったこと限定ってわけか。さすがにそこまで万能ってわけにもいかねーか
天音	でもそうなると、空が結局何を気にしてたのか分からないわね。残念だけど
大地	そうだね。せめて一言でも見てるものを口にしてくれればいいんだけど
主人公	けれどそんな期待に反して、空は一言もしゃべらない。そのまま黙って外を眺め続けると、やがてゆっくりと振り返った。そして階段を下りていく。
大地	やっぱり、だめか……
主人公	そう思い再生を停止しようとした瞬間、空の足が不意に止まった。そして誰かがそこにやってくる。
星亜	こんなところでどうかしたの？　空
空	別に何も。どうせここの生徒になるんだし、校内を下見してるだけ。星亜こそどうかしたの？
星亜	私も下見中。ついでに例の彼に会えたらって思ってるけど。どんな人か確かめておきたいし
空	……期待しない方がいいわよ。それじゃあ、わたしはもう少し下見を続けるから
星亜	ええ、また後で
主人公	軽い挨拶を残し、再び歩き出す空。空が階段を下りきると同時、映像は消滅した。
銀一郎	結局何も無し、か
天音	星ちゃんが何か聞いてくれてるかもって、ちょっと期待したんだけどねえ
大地	星亜も、空が外を見てる瞬間を見てないからね。そこは仕方ないかなあ
主人公	でも、確かに残念だ。星亜、何か知らないかなあ。
銀一郎	とりあえず、このままここにいても得られるものはなさそうだな
天音	そうね、他の場所で聞き込みしましょうか
主人公	確かに、ずっとここでこうしていても時間の無駄っぽいし。他の場所も見に行ってみよう。
