大地	おはようございまーす
主人公	一年の計は元旦にあり。一日の計は朝にあり。元気な朝の挨拶は明るい学園生活の要。僕はいつも通りに声をあげつつ教室へと入った。
空	お早う
主人公	そして、そんな僕の後に続いて空が入る。僕と空の間に会話があるわけじゃあないけれど、皐月がいてくれるおかげか、通学だけは一緒のままだ。
星亜	お早う、二人とも
魅流	おーっす。空、昨日は大丈夫だったか。途中で転んだりしてないだろうなあ
空	当たり前。そこまでドジじゃあ……
大地	いやあ、まさか空の……があんなに凄いとは思ってなかったよ
空	なっ！？　ちょっと大地、何言って！
大地	僕は昨日、ほんの少し大人になってしまいました
彗	そこぉ、もっと詳しく！　具体的に！　あ、マイハニー魅流ちゃんはっろー！！
星亜	ず、随分と唐突に現れるわね
魅流	ま、彗だからな。こいつは時々世界の法則を乱すぜ
彗	それでそれで！？　早急に物語の続きを！！
大地	まあまあ落ち着きなよ彗。つまり、この世界にはまだまだ僕らの知らない世界があったっていうことさ
彗	オ、オレらの知らない世界！？　それはもしかして、ハイヒールの踵が見せてくれる世界よりも眩いのかい！？
大地	もちろん。そんな者を超越した、遙か高見にある世界……て空さん！？　机は、机は危険です！
空	……危険でなかったら無意味でしょう……？
空	大丈夫、業務上の事故で済むから。痛いのも一瞬……
大地	あ、あははは……いやあ、凄いなあ。こんな屋内なのに死兆星が見えます……
主人公	蛇に睨まれたカエル、というのはまさにこういう状態を言うんでしょうか。
星亜	まったく。くだらない冗談なんか言ってるからよ。同情する気にもなれない
主人公	本気で呆れたように溜息を付いて、星亜が席から立ち上がる。そして僕らの間に入った。
星亜	とはいえ、痛いほどに気持ちは分かるけど、殺人だけはだめよ空。試験が中止になっちゃうもの
空	構わない、そんなの。だからどいて
星亜	どかないわ、私は構うもの。せっかくのチャンス逃してたまるもんですか。次の機会が何年後になるのかも分からないのに
星亜	それどころか、下手すれば試験中に事故を起こしたとして二度と機会を与えられない可能性もある。そんなことになったら私は許さないわよ
主人公	一歩も引かない、とばかりの迫力を込めて空に言い切る星亜。そんな星亜に押されたのか、空はゆっくりと机を下ろした。
空	……分かった。確かにわたし一人の問題じゃなくなるものね
星亜	ありがと。聞いてくれて助かるわ。ああ、でも……
星亜	橘くんへの制裁自体は構わないわよ。表沙汰にならないレベルで存分にどうぞ
空	……へえ
主人公	空はちょっと意外そうに声を上げ。
空	理解ありがと。お言葉に甘えるわ
主人公	心の底から楽しそうに微笑んだ。
主人公	って、これ、非常にやばいのでは……。
大地	いや、そこは普通に甘えることなく、自分に厳しく行こう、うん。今時代は自分に厳しく他人に優しく
空	残念。わたしの目指す道は、自分に厳しく他人に厳しくだから
主人公	会心の笑顔でボキボキと拳を鳴り響かせる空。せ、先生、萌えキャラとしてその行動はどうかと思います……。
魅流	ちなみに、あたしが目指すのは自分に優しく他人に厳しく。これ最強だぜ
彗	奇遇だねえ、魅流ちゃん。オレもまったく同じだよ。これがゆとりを生み出すメカニズム、ってね
大地	お前達最低だーっ！！
主人公	その日僕は、渡っちゃ行けない川で、百メートル自由形世界新記録を出しかけました。まる。
主人公	…………。
主人公	……。
主人公	…。
空	とりあえず、その程度で終わりにしてあげる。試験が中止になってもまずいし
彗	いやでもさあ、さすがにこれはやばくない？
魅流	つんつんしてやる、ほれほれ。お、動くぞ、生きてる生きてる
彗	え、ほんと？　あ、ほんとだ。ほれ、つんつんつくつん
大地	やめーいっ！！
魅流	うん。人間ってのは結構死なないもんだな
彗	そうだねえ。オレも結構な高レベルの悦びを自分に試してみたけど、こうしてぴんぴんしてるしね
大地	い、生きてるって……いいなあ……
主人公	彗の言う高レベルっていうのがどういうものか、聞いてみたいとも思った反面、絶対に聞かない方がいいな、とも思った。
空	言っておくけど、わたしたちと無関係の所でならいつ死んでも構わないから
主人公	それだけ冷たく言い放ち、空は自分の席に着く。
星亜	前から思ってたけど、空って本当に橘くんに対してだけは厳しいわよね
魅流	いや、実に見事に嫌われてるもんだな。何やったんだ、大地
大地	別に何もやってないよ
彗	何もしないでどうやったらあそこまで嫌われるんだ？
大地	……何もしなかった……いや、何もしなかったことになったから
主人公	明らかな疑問符を頭の上に浮かべる三人。だけど僕はその先を言葉にすることなく、その場で立ち上がった。
大地	痛！
主人公	瞬間、左足首に鈍い痛みが走る。あー、これちょっと捻ったりしたかな。
